smiles,ea
[C:1]([C@@:2]1([C:3]([C:4]([O:5][H:15])([H:13])[H:14])([H:11])[H:12])[C:6]([H:16])([H:17])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C:6]([H:16])([H:17])[O:7]1)([H:8])([H:9])[H:10].[C:4]([O:5][H:15])[H:14],58.99
[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[O:5][C@@:6]21[H:12]>>[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@:4]2([O+:5]=[C-:6][H:12])[H:11],100.0
[C:1]([C:2]([C:3]1([H:12])[C:4]([H:13])([H:14])[O:5][C:6]1([H:15])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3](=[C:6]([H:15])[H:16])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4](=[O:5])([H:13])[H:14],100.0
[O:1]([C:2]([C@@:3]1([C:6](=[O:7])[H:14])[C:4]([H:11])([H:12])[N:5]1[H:13])([H:9])[H:10])[H:8]>>[C:3]1(=[C:6](/[O:7][H:8])[H:14])\[C:4]([H:11])([H:12])[N:5]1[H:13].[O:1]=[C:2]([H:9])[H:10],100.0
[C:1]([C:2]1([C:5](=[O:6])[H:14])[C:3]([H:10])([H:11])[C:4]1([H:12])[H:13])([H:7])([H:8])[H:9]>>[C:1]([C@:2]12[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2)([H:7])([H:8])[H:9],100.0
[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4](=[O:5])[C:6]1([H:11])[H:12])[H:7]>>[O:1]=[C:2]([C:3]([C:4]([O:5][H:7])=[C:6]([H:11])[H:12])([H:9])[H:10])[H:8],100.0
[C:1]([C:2]1([O:3][H:9])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13])([H:6])([H:7])[H:8]>>[C:1]([H:6])([H:7])([H:8])[H:9].[C:2]1(=[O:3])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13],8.67
[O:1]([C:2]([C:3]1([H:10])[C:4]([H:11])([H:12])[O:5][C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[H:10][H:13].[O:1]([C:2]([C:3]1=[C:6]([H:14])[O:5][C:4]1([H:11])[H:12])([H:8])[H:9])[H:7],0.0
[O:1]=[C:2]([C@@:3]1([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:7]>>[O:1]=[C:2](/[C:3](=[C:4](/[C:5]([O:6][H:9])([H:11])[H:12])[H:10])[H:8])[H:7],10.5
[C:1]([C@:2]12[C:3]([H:11])([H:12])[O:4][C@@:5]1([H:13])[C@:6]2([O:7][H:15])[H:14])([H:8])([H:9])[H:10]>>[C:1](/[C:2]([C:3]([O:4][H:15])([H:11])[H:12])=[C:5](/[C:6](=[O:7])[H:14])[H:13])([H:8])([H:9])[H:10],100.0
[C:1]([C@@:2]1([C:3]([C:4]([O:5][H:15])([H:13])[H:14])([H:11])[H:12])[C:6]([H:16])([H:17])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([C:3](=[C:4]([H:13])[H:14])[H:11])[C:6]([H:16])([H:17])[O:7]1)([H:8])([H:9])[H:10].[O:5]([H:12])[H:15],100.0
[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C:4]([H:14])([H:15])[O:5][C:6]([H:16])=[N:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([O:5][H:16])([H:14])[H:15])[N+:7]#[C-:6])([H:8])([H:9])[H:10],100.0
[O:1]([C:2]1([H:7])[C:3]([H:8])([H:9])[O:4][C:5]1([H:10])[H:11])[H:6]>>[H:6][H:10].[O:1]=[C:2]([C@:5]1([H:11])[C:3]([H:8])([H:9])[O:4]1)[H:7],0.01
[N:1]#[C:2][C:3]([N:4]1[C:5]([H:9])([H:10])[C:6]1([H:11])[H:12])([H:7])[H:8]>>[N:1](=[C:2]=[C:3]([N:4]1[C:5]([H:9])([H:10])[C:6]1([H:11])[H:12])[H:7])[H:8],4.57
[O:1]([C:2]1([C:6](=[O:7])[H:13])[C:3]([H:9])([H:10])[O:4][C:5]1([H:11])[H:12])[H:8]>>[O:1]([C:2]1([O+:7]=[C-:6][H:13])[C:3]([H:9])([H:10])[O:4][C:5]1([H:11])[H:12])[H:8],0.0
[C:1]([C:2]([C@@:3]1([H:12])[C:4]([H:13])([H:14])[C@:5]1([O:6][H:16])[H:15])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([H:7])([H:8])([H:9])[H:10].[C:2]([C@@:3]1([H:12])[C:4]([H:13])([H:14])[C@:5]1([O:6][H:16])[H:15])[H:11],4.55
[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C:4]([H:14])([H:15])[O:5]/[C:6]1=[N:7]\[H:16])([H:8])([H:9])[H:10]>>[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C-:4]([H:15])[O+:5]=[C:6]1[N:7]([H:14])[H:16])([H:8])([H:9])[H:10],0.02
[C:1]1([H:7])([H:8])[O:2][C:3]([H:9])([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]([O:2][C:3]([C@@:4]1([H:11])[N:5]([H:12])[C:6]1)([H:9])[H:10])([H:7])([H:8])[H:13],74.06
[N:1]([C:2](=[O:3])[C:4]([N:5]1[C:6]([H:12])([H:13])[C:7]1([H:14])[H:15])([H:10])[H:11])([H:8])[H:9]>>[N:1]([C-:2]=[O+:3][C:4]([N:5]1[C:6]([H:12])([H:13])[C:7]1([H:14])[H:15])([H:10])[H:11])([H:8])[H:9],0.02
[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]12[C:4]([H:12])([H:13])[C:5]([H:14])=[C:6]([H:15])[C:7]2([H:16])[H:17]>>[C:1]1([H:8])([H:9])[C:3](=[C:2]([H:10])[H:11])[C:7]([H:16])([H:17])[C:6]1([C:5](=[C:4]([H:12])[H:13])[H:14])[H:15],0.15
[C:1]([C@:2]1([H:9])[O:3][C@@:4]1([C:5]([H:11])([H:12])[H:13])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C@@:2]([O:3][H:11])([C:4](=[C:5]([H:12])[H:13])[H:10])[H:9])([H:6])([H:7])[H:8],100.0
[C:1]([C:2]([C@@:3]1([H:13])[O:4][C@@:5]2([H:14])[C:6]([H:15])([H:16])[C@@:7]12[H:17])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C@@:3]1([H:13])[O:4][C:5]([H:14])=[C:6]([H:15])[C:7]1([H:16])[H:17])([H:11])[H:12])([H:8])([H:9])[H:10],100.0
[C:1]([N:2]([C:3]([C:4](=[O:5])[O:6][C:7]([H:14])([H:15])[H:16])([H:12])[H:13])[H:11])([H:8])([H:9])[H:10]>>[C:1]([N:2]1[C:3]([H:12])([H:13])[C:4]1=[O:5])([H:8])([H:9])[H:10].[H:11][H:15].[O:6]=[C:7]([H:14])[H:16],0.0
[C:1]([C@:2]12[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C@@:5]1([H:15])[C:6]([H:16])([H:17])[O:7]2)([H:8])([H:9])[H:10]>>[C:1]([C:2]1=[C:3]([H:11])[C:4]([H:13])([H:14])[C@:5]1([C:6]([O:7][H:12])([H:16])[H:17])[H:15])([H:8])([H:9])[H:10],100.0
[C:1]([C@@:2]1([H:11])[N:3]([H:12])[C@:4]1([C:5]([C:6](=[O:7])[H:16])([H:14])[H:15])[H:13])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([H:10])[H:11])([H:8])[H:9].[N:3](=[C:4](/[C:5]([C:6](=[O:7])[H:16])([H:14])[H:15])[H:13])\[H:12],3.1
[O:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[O:4][C@:5]1([H:11])[C:6]([H:12])=[C:7]2[H:13])[H:8]>>[O:1]([C@@:2]1([H:9])[C@:5]2([H:11])[O:4][C:3]([H:10])=[C:7]([H:13])[C@:6]12[H:12])[H:8],100.0
