smiles,ea
[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[O:5][C:6]1([H:15])[H:16])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]1([H:10])[C:3]([H:12])=[C:4]([H:13])[O:5][C:6]1([H:15])[H:16])([H:7])([H:8])[H:9].[H:11][H:14],0.01
[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[N:4]([H:14])[C@:5]1([C:6]#[N:7])[H:15])([H:8])([H:9])[H:10]>>[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[N:4]([H:14])[C:5]([H:15])=[C:6]=[N:7]1)([H:8])([H:9])[H:10],4.15
[C:1]1([H:8])([H:9])[C@@:2]2([H:10])[N:3]1[C:4]([H:11])([H:12])[C:5]21[C:6]([H:13])([H:14])[C:7]1([H:15])[H:16]>>[C:1](=[C:2]([N:3]1[C:4]([H:11])([H:12])[C:5]12[C:6]([H:13])([H:14])[C:7]2([H:15])[H:16])[H:10])([H:8])[H:9],100.0
[C:1]([N:2]1[C@:3]2([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[C:6]([H:15])=[C:7]2[H:16])([H:8])([H:9])[H:10]>>[C:1](/[C:7](=[C:6](\[C@:5]1([H:14])[N:2]=[C:3]([H:11])[C:4]1([H:12])[H:13])[H:15])[H:16])([H:8])([H:9])[H:10],0.1
[N:1]#[C:2][C:3]1([H:7])[C:4]([H:8])([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13]>>[N:1](=[C:2]=[C:3]1[C:4]([H:8])([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:7],1.28
[O:1]=[C:2]([O:3][C:4]([C:5]#[C:6][H:10])([H:8])[H:9])[H:7]>>[O:1]=[C:5]1[C:4]([H:8])([H:9])[O:3][C:2]([H:7])=[C:6]1[H:10],0.0
[O:1]=[C:2]([C@@:3]1([H:9])[C:4]([H:10])([H:11])[C@:5]1([C:6]#[N:7])[H:12])[H:8]>>[O:1]=[C:2]([C:3]([C:4]([C+:5]=[C:6]=[N-:7])([H:10])[H:11])([H:9])[H:12])[H:8],100.0
[N:1]#[C:2][C:3]1([H:7])[C:4]([H:8])([H:9])[O:5][C:6]1([H:10])[H:11]>>[H:7][H:11].[N:1]#[C:2][C:3]1=[C:6]([H:10])[O:5][C:4]1([H:8])[H:9],0.02
[C:1]([C@:2]12[N:3]([H:11])[C@@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2=[O:7])([H:8])([H:9])[H:10]>>[C:1]([C@:2]1([C:6]2=[O+:7][C:5]2([H:13])[H:14])[N:3]([H:11])[C-:4]1[H:12])([H:8])([H:9])[H:10],0.0
[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[N:4]([C:5]([H:14])([H:15])[H:16])[C:6]1=[O:7])([H:8])([H:9])[H:10]>>[C:1]([O:7][C:6]1=[C:2]([H:11])[C:3]([H:12])([H:13])[N:4]1[C:5]([H:14])([H:15])[H:16])([H:8])([H:9])[H:10],0.0
[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[N:4]([C:5]([H:14])([H:15])[H:16])[C:6]1=[O:7])([H:8])([H:9])[H:10]>>[C:1]([C:2][C:3]([N:4]([C:5]([H:14])([H:15])[H:16])[C:6](=[O:7])[H:11])([H:12])[H:13])([H:8])([H:9])[H:10],11.5
[O:1]=[C:2]([C@@:3]1([H:9])[C:4]([H:10])([H:11])[C@:5]1([C:6]#[N:7])[H:12])[H:8]>>[C:3]1([H:9])=[C:5]([H:12])[C:4]1([H:10])[H:11].[C:6](#[N:7])[H:8].[O+:1]#[C-:2],12.23
[C:1](#[C:2][C@:3]1([H:9])[N:4]([H:10])[C@@:5]1([C:6]#[C:7][H:12])[H:11])[H:8]>>[C:1]12=[C:2]([H:8])[C@@:3]3([H:9])[N:4]([H:10])[C@@:5]3([H:11])[C:6]1=[C:7]2[H:12],100.0
[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5](=[O:6])[H:13])[H:12])([H:7])([H:8])[H:9]>>[C:1]([N-:2][C:4](=[C:5]([O+:6]=[C:3]([H:10])[H:11])[H:13])[H:12])([H:7])([H:8])[H:9],100.0
[C:1]([O:2][C:3]([C@@:4]1([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([C@@:4]([C+:5]([H:13])[H:14])([O-:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],100.0
[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[c:3]2[n:4][c:5]([H:12])[c:6]([H:13])[n:7]21>>[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[c+:3]2[n:4]([H:12])[c-:5][c:6]([H:13])[n:7]21,99.59
[O:1]=[C:2]([C:3]([C@@:4]1([H:10])[C:5]([H:11])([H:12])[N:6]1[H:13])([H:8])[H:9])[H:7]>>[O:1]=[C:2]([C:3](/[C:4](=[N:6]/[C:5]([H:11])([H:12])[H:13])[H:10])([H:8])[H:9])[H:7],100.0
[O:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[O:4][C:5]([H:12])=[N:6][C:7]1([H:13])[H:14])[H:8]>>[O:1]([C@@:2]([C:3]([O:4][H:14])([H:10])[H:11])([C:7](=[N+:6]=[C-:5][H:12])[H:13])[H:9])[H:8],91.65
[N:1](=[C:2](/[O:3][C:4]([C:5](=[O:6])[H:11])([H:9])[H:10])[H:8])\[H:7]>>[N:1]1([H:7])[C:2]([H:8])([H:11])[O:3][C:4]([H:9])([H:10])[C:5]1=[O:6],100.0
[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C@@:4]3([H:13])[O:5][C@:6]1([H:14])[C@@:7]23[H:15])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([H:15])[C:3]([H:11])([H:12])[C@@:4]2([H:13])[O:5][C@:6]1([H:14])[C:7]2)([H:8])([H:9])[H:10],100.0
[C:1]([C:2]#[C:3][C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:7])([H:8])[H:9]>>[C:1]([C-:2]=[C:3]1[C+:4]([H:10])[C:6]([H:13])([H:14])[C:5]1([H:11])[H:12])([H:7])([H:8])[H:9],100.0
[O:1]([C:2]([C:3]([C:4]1([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:10])[H:11])([H:8])[H:9])[H:7]>>[C:2]1([H:8])([H:9])[C:3]([H:10])([H:11])[C@:4]2([H:12])[C:5]([H:13])([H:14])[C@:6]12[H:16].[O:1]([H:7])[H:15],0.01
[O:1]([C:2]([C@@:3]1([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:9])[H:10])[H:8]>>[H:14][H:15].[O:1]([C:2]([C@@:3]1([H:11])[C:4]([H:12])([H:13])[C-:5]=[O+:6][C:7]1([H:16])[H:17])([H:9])[H:10])[H:8],98.96
[C:1]([C:2]1=[C:3]([H:10])[C:4]([H:11])([H:12])[O:5][C:6]1([H:13])[H:14])([H:7])([H:8])[H:9]>>[C:1]([C-:2]1[C:3]([H:10])=[C:4]=[O+:5][C:6]1([H:13])[H:14])([H:7])([H:8])[H:9].[H:11][H:12],100.0
[C:1]([C@@:2]1([H:11])[O:3][C:4]([H:12])([H:13])/[C:5](=[N:6]/[H:14])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([H:11])[O+:3]=[C-:4]/[C:5](=[N:6]/[H:14])[O:7]1)([H:8])([H:9])[H:10].[H:12][H:13],51.69
[C:1]([C:2]1([O:3][H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C:6]([H:16])([H:17])[C:7]1([H:18])[H:19])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([O:3][H:11])[C:4]([H:12])([H:13])[C@:5]1([C:6]([C:7]([H:15])([H:18])[H:19])([H:16])[H:17])[H:14])([H:8])([H:9])[H:10],0.0
[O:1]=[C:2]([C@@:3]1([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:7]>>[C:3]1([H:8])=[C:4]([H:10])[C:5]([H:11])([H:12])[O:6]1.[H:7][H:9].[O+:1]#[C-:2],100.0
[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][C:4]([H:12])([H:13])[C:5]([H:14])=[C:6]([H:15])[C:7]1([H:16])[H:17]>>[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][C:4]([H:13])=[C:5]=[C:6]([H:15])[C:7]1([H:16])[H:17].[H:12][H:14],5.9
[C:1]1([H:8])([H:9])[C@@:2]2([H:10])[N:3]1[C:4]([H:11])([H:12])[C:5]21[C:6]([H:13])([H:14])[C:7]1([H:15])[H:16]>>[C-:1]([N+:3]1=[C:2]([H:10])[C:5]2([C:4]1([H:11])[H:12])[C:6]([H:13])([H:14])[C:7]2([H:15])[H:16])([H:8])[H:9],100.0
