smiles,ea
[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[c:6]1[H:10])[H:7]>>[O-:1][C:2]1=[N:3][N:4]([H:8])[C+:5]([H:9])[C:6]1([H:7])[H:10],100.0
[N:1]([c:2]1[n:3][n:4]([H:9])[n:5][c:6]1[H:10])([H:7])[H:8]>>[N:1](=[c:2]1/[n:3]([H:7])[n:4]([H:9])[n:5][c:6]1[H:10])\[H:8],100.0
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])=[C:5]([H:10])[C:6]1([H:11])[H:12]>>[H:7][H:12].[O:1]=[C:2]1[C:3]([H:8])=[C:4]([H:9])[C:5]([H:10])=[C:6]1[H:11],100.0
[C:1]([n:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]1[N:7]([H:14])[H:15])([H:8])([H:9])[H:10]>>[C:1](/[N:2]=[C:6](/[C:5](=[C:4]=[C:3]([H:11])[H:12])[H:13])[N:7]([H:14])[H:15])([H:8])([H:9])[H:10],0.71
[N:1](=[C:2]1/[C:3]([H:9])=[C:4]([H:10])[C:5](=[O:6])[O:7]1)\[H:8]>>[N:1](=[C:2]1/[C@:3]([C:4](=[C:5]=[O:6])[H:10])([H:9])[O:7]1)\[H:8],100.0
[O:1]([c+:2]1[n-:3][c:4]([O:5][H:9])[c:6]([H:10])[n:7]1[H:11])[H:8]>>[O:1]([C-:2]=[N+:3]=[C:4]([O:5][H:9])/[C:6](=[N:7]\[H:11])[H:10])[H:8],100.0
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C@@:4]2([H:9])[N:5]([H:10])[C@@:6]12[H:11]>>[O:1]=[C:2]1[C:3]([H:7])([H:8])[N+:5]2([H:10])[C-:4]([H:9])[C@:6]12[H:11],0.0
[C:1](#[C:2][c:3]1[c:4]([H:9])[o:5][n:6][c:7]1[H:10])[H:8]>>[C:1](#[C:2][C:3]#[C:4][H:9])[H:8].[O-:5][N+:6]#[C:7][H:10],1.06
[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]([H:11])[C:6]([H:12])([H:13])[N:7]1[H:14]>>[O:1]([C+:2]1[C:3]([H:8])([H:9])[C-:4]=[C:5]([H:11])[C:6]([H:12])([H:13])[N:7]1[H:14])[H:10],0.02
[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],100.0
[N:1]([c:2]1[c:3]([H:9])[n:4][n:5][n:6]1[H:10])([H:7])[H:8]>>[N:1]([C:2]1=[C:3]([H:9])[N:4]1/[N:5]=[N:6]/[H:10])([H:7])[H:8],2.87
[C:1]([c:2]1[c:3]([H:10])[n:4]([H:11])[n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([C:2]1(/[C:3](=[N:4]/[H:11])[H:10])[N:5]=[N:6]1)([H:7])([H:8])[H:9],100.0
[C:1]1([H:8])([H:9])[C@@:2]2([H:10])[C:3]([H:11])([H:12])[O:4][C:5]([H:13])=[N:6][C@@:7]12[H:14]>>[C:1]1([H:8])([H:9])[C:2][C:3]([H:11])([H:12])[O:4][C:5]([H:13])=[N:6][C:7]1([H:10])[H:14],100.0
[C:1]([c:2]1[n:3][o:4][c:5](=[O:6])[o:7]1)([H:8])([H:9])[H:10]>>[C:1]([N:3]=[C:2]=[O:7])([H:8])([H:9])[H:10].[O:4]=[C:5]=[O:6],100.0
[N:1]#[C:2][C@@:3]1([H:8])[C@@:4]2([H:9])[C:5]([H:10])([H:11])[C:6]([H:12])([H:13])[N:7]12>>[N:1]1([H:11])[C:2][C@@:3]2([H:8])[C@@:4]3([H:9])[C@:5]1([H:10])[C:6]([H:12])([H:13])[N:7]23,1.53
[O:1]=[C:2]([c:3]1[c:4]([H:9])[n:5][c:6]([H:10])[n:7]1[H:11])[H:8]>>[O:1](/[C:2](=[C:3]1/[C:4]([H:9])=[N:5][C:6]([H:10])=[N:7]1)[H:8])[H:11],100.0
[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[n:5][c:6]1[H:11])([H:7])[H:8]>>[N:1](=[C:2]1[C+:3]([H:9])[N:4]([H:10])[N-:5][C:6]1([H:7])[H:11])[H:8],23.26
[O:1]([c:2]1[c:3]([H:8])[n:4]([H:9])[c:5]([H:10])[c:6]1[H:11])[H:7]>>[O:1]([C:2]1=[C-:6][C:5]([H:10])([H:11])[N:4]([H:9])[C+:3]1[H:8])[H:7],100.0
[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[c:3]2[n:4][c:5]([H:12])[c:6]([H:13])[n:7]21>>[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]12[N:4]=[C:5]([H:12])[C:6]([H:13])=[N:7]2,100.0
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])=[C:5]([H:10])[C:6]1([H:11])[H:12]>>[O:1]1[C@:2]2([C:3]1([H:7])[H:8])[C:4]([H:9])=[C:5]([H:10])[C:6]2([H:11])[H:12],0.0
[O:1]([c:2]1[c:3]([H:8])[c:4]([H:9])[n:5][n:6]1[H:10])[H:7]>>[C:4](#[N+:5][N-:6][H:10])[H:9].[O:1]([C:2]#[C:3][H:8])[H:7],0.0
